job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105322,gw2965,nodes,COMPLETED,2026-08-05T14:21:56Z,2026-08-05T14:21:57Z,2026-08-05T14:22:01Z,4s,1.0s,6,9.0613s,37.7552%,0.0MB,0.0MB,0.0%,0
105323,gw2965,nodes,COMPLETED,2026-08-05T14:21:57Z,2026-08-05T14:22:00Z,2026-08-05T14:22:02Z,2s,3.0s,6,2.6974s,22.4786%,0.0MB,0.0MB,0.0%,0
105324,gw2965,nodes,COMPLETED,2026-08-05T14:21:58Z,2026-08-05T14:22:00Z,2026-08-05T14:22:02Z,2s,2.0s,6,2.6647s,22.206%,0.0MB,0.0MB,0.0%,0
105325,gw2965,nodes,COMPLETED,2026-08-05T14:21:59Z,2026-08-05T14:22:00Z,2026-08-05T14:22:05Z,5s,1.0s,1,7.3306s,146.612%,0.0MB,0.0MB,0.0%,0
105326,gw2965,nodes,COMPLETED,2026-08-05T14:22:00Z,2026-08-05T14:22:03Z,2026-08-05T14:22:07Z,4s,3.0s,6,9.0124s,37.5516%,0.0MB,0.0MB,0.0%,0
105327,gw2965,nodes,COMPLETED,2026-08-05T14:22:01Z,2026-08-05T14:22:03Z,2026-08-05T14:22:07Z,4s,2.0s,6,9.6985s,40.4105%,0.0MB,0.0MB,0.0%,0
105328,gw2965,nodes,COMPLETED,2026-08-05T14:22:02Z,2026-08-05T14:22:03Z,2026-08-05T14:22:07Z,4s,1.0s,6,9.5315s,39.7147%,0.0MB,0.0MB,0.0%,0
105329,gw2965,nodes,COMPLETED,2026-08-05T14:22:03Z,2026-08-05T14:22:06Z,2026-08-05T14:22:08Z,2s,3.0s,6,2.759s,22.9913%,0.0MB,0.0MB,0.0%,0
105330,gw2965,nodes,COMPLETED,2026-08-05T14:22:04Z,2026-08-05T14:22:06Z,2026-08-05T14:22:08Z,2s,2.0s,6,2.751s,22.9249%,0.0MB,0.0MB,0.0%,0
105331,gw2965,nodes,COMPLETED,2026-08-05T14:22:05Z,2026-08-05T14:22:06Z,2026-08-05T14:22:10Z,4s,1.0s,6,9.9067s,41.2779%,0.0MB,0.0MB,0.0%,0
105332,gw2965,nodes,COMPLETED,2026-08-05T14:22:06Z,2026-08-05T14:22:09Z,2026-08-05T14:22:14Z,5s,3.0s,6,9.5929s,31.9764%,0.0MB,0.0MB,0.0%,0
105333,gw2965,nodes,COMPLETED,2026-08-05T14:22:07Z,2026-08-05T14:22:09Z,2026-08-05T14:22:11Z,2s,2.0s,6,2.8721s,23.9338%,0.0MB,0.0MB,0.0%,0
105334,gw2965,nodes,COMPLETED,2026-08-05T14:22:08Z,2026-08-05T14:22:09Z,2026-08-05T14:22:11Z,2s,1.0s,6,2.7659s,23.0488%,0.0MB,0.0MB,0.0%,0
105335,gw2965,nodes,COMPLETED,2026-08-05T14:22:09Z,2026-08-05T14:22:12Z,2026-08-05T14:22:16Z,4s,3.0s,6,9.6736s,40.3068%,0.0MB,0.0MB,0.0%,0
105336,gw2965,nodes,COMPLETED,2026-08-05T14:22:10Z,2026-08-05T14:22:12Z,2026-08-05T14:22:16Z,4s,2.0s,6,9.3335s,38.8896%,0.0MB,0.0MB,0.0%,0
105337,gw2965,nodes,COMPLETED,2026-08-05T14:22:11Z,2026-08-05T14:22:12Z,2026-08-05T14:22:15Z,3s,1.0s,6,2.6847s,14.9148%,0.0MB,0.0MB,0.0%,0
